,Date,Close,previous0,previous1,previous2,previous3,previous4,GDP
5170,2017-03-08,4760.5,4716.5,4762.0,4780.5,4747.0,4676.5,0.7
5169,2017-03-07,4716.5,4762.0,4780.5,4747.0,4676.5,4644.0,0.7
5168,2017-03-06,4762.0,4780.5,4747.0,4676.5,4644.0,4608.5,0.7
5167,2017-03-03,4780.5,4747.0,4676.5,4644.0,4608.5,4609.0,0.7
5166,2017-03-02,4747.0,4676.5,4644.0,4608.5,4609.0,4600.5,0.7
5165,2017-03-01,4676.5,4644.0,4608.5,4609.0,4600.5,4556.0,0.7
5164,2017-02-28,4644.0,4608.5,4609.0,4600.5,4556.0,4562.0,0.7
5163,2017-02-27,4608.5,4609.0,4600.5,4556.0,4562.0,4570.0,0.7
5162,2017-02-24,4609.0,4600.5,4556.0,4562.0,4570.0,4595.0,0.7
5161,2017-02-23,4600.5,4556.0,4562.0,4570.0,4595.0,4524.5,0.7
5160,2017-02-22,4556.0,4562.0,4570.0,4595.0,4524.5,4684.0,0.7
5159,2017-02-21,4562.0,4570.0,4595.0,4524.5,4684.0,4626.0,0.7
5158,2017-02-20,4570.0,4595.0,4524.5,4684.0,4626.0,4650.5,0.7
5157,2017-02-17,4595.0,4524.5,4684.0,4626.0,4650.5,4626.5,0.7
5156,2017-02-16,4524.5,4684.0,4626.0,4650.5,4626.5,4575.0,0.7
5155,2017-02-15,4684.0,4626.0,4650.5,4626.5,4575.0,4484.5,0.7
5154,2017-02-14,4626.0,4650.5,4626.5,4575.0,4484.5,4449.5,0.7
5153,2017-02-13,4650.5,4626.5,4575.0,4484.5,4449.5,4387.5,0.7
5152,2017-02-10,4626.5,4575.0,4484.5,4449.5,4387.5,4358.0,0.7
5151,2017-02-09,4575.0,4484.5,4449.5,4387.5,4358.0,4272.5,0.7
5150,2017-02-08,4484.5,4449.5,4387.5,4358.0,4272.5,4247.0,0.7
5149,2017-02-07,4449.5,4387.5,4358.0,4272.5,4247.0,4194.0,0.7
5148,2017-02-06,4387.5,4358.0,4272.5,4247.0,4194.0,4260.5,0.7
5147,2017-02-03,4358.0,4272.5,4247.0,4194.0,4260.5,4239.0,0.7
5146,2017-02-02,4272.5,4247.0,4194.0,4260.5,4239.0,4298.0,0.7
5145,2017-02-01,4247.0,4194.0,4260.5,4239.0,4298.0,4262.5,0.7
5144,2017-01-31,4194.0,4260.5,4239.0,4298.0,4262.5,4215.0,0.7
5143,2017-01-30,4260.5,4239.0,4298.0,4262.5,4215.0,4255.5,0.7
5142,2017-01-27,4239.0,4298.0,4262.5,4215.0,4255.5,4318.5,0.7
5141,2017-01-26,4298.0,4262.5,4215.0,4255.5,4318.5,4468.5,0.7
5140,2017-01-25,4262.5,4215.0,4255.5,4318.5,4468.5,4580.5,0.7
5139,2017-01-24,4215.0,4255.5,4318.5,4468.5,4580.5,4530.5,0.7
5138,2017-01-23,4255.5,4318.5,4468.5,4580.5,4530.5,4575.5,0.7
5137,2017-01-20,4318.5,4468.5,4580.5,4530.5,4575.5,4609.0,0.7
5136,2017-01-19,4468.5,4580.5,4530.5,4575.5,4609.0,4555.5,0.7
5135,2017-01-18,4580.5,4530.5,4575.5,4609.0,4555.5,4577.0,0.7
5134,2017-01-17,4530.5,4575.5,4609.0,4555.5,4577.0,4660.0,0.7
5133,2017-01-16,4575.5,4609.0,4555.5,4577.0,4660.0,4607.5,0.7
5132,2017-01-13,4609.0,4555.5,4577.0,4660.0,4607.5,4550.5,0.7
5131,2017-01-12,4555.5,4577.0,4660.0,4607.5,4550.5,4550.0,0.7
5130,2017-01-11,4577.0,4660.0,4607.5,4550.5,4550.0,4476.5,0.7
5129,2017-01-10,4660.0,4607.5,4550.5,4550.0,4476.5,4439.0,0.7
5128,2017-01-09,4607.5,4550.5,4550.0,4476.5,4439.0,4437.5,0.7
5127,2017-01-06,4550.5,4550.0,4476.5,4439.0,4437.5,4427.0,0.7
5126,2017-01-05,4550.0,4476.5,4439.0,4437.5,4427.0,4417.0,0.7
5125,2017-01-04,4476.5,4439.0,4437.5,4427.0,4417.0,,0.7
