,Date,Close,previous0,previous1,previous2,previous3,previous4,GDP
2581,2017-03-08,1669.0,1675.0,1684.5,1688.0,1675.5,1666.5,0.7
2580,2017-03-07,1675.0,1684.5,1688.0,1675.5,1666.5,1648.0,0.7
2579,2017-03-06,1684.5,1688.0,1675.5,1666.5,1648.0,1644.5,0.7
2578,2017-03-03,1688.0,1675.5,1666.5,1648.0,1644.5,1639.5,0.7
2577,2017-03-02,1675.5,1666.5,1648.0,1644.5,1639.5,1632.5,0.7
2576,2017-03-01,1666.5,1648.0,1644.5,1639.5,1632.5,1653.5,0.7
2575,2017-02-28,1648.0,1644.5,1639.5,1632.5,1653.5,1645.5,0.7
2574,2017-02-27,1644.5,1639.5,1632.5,1653.5,1645.5,1636.5,0.7
2573,2017-02-24,1639.5,1632.5,1653.5,1645.5,1636.5,1639.5,0.7
2572,2017-02-23,1632.5,1653.5,1645.5,1636.5,1639.5,1617.0,0.7
2571,2017-02-22,1653.5,1645.5,1636.5,1639.5,1617.0,1594.5,0.7
2570,2017-02-21,1645.5,1636.5,1639.5,1617.0,1594.5,1577.0,0.7
2569,2017-02-20,1636.5,1639.5,1617.0,1594.5,1577.0,1580.0,0.7
2568,2017-02-17,1639.5,1617.0,1594.5,1577.0,1580.0,1591.0,0.7
2567,2017-02-16,1617.0,1594.5,1577.0,1580.0,1591.0,1577.0,0.7
2566,2017-02-15,1594.5,1577.0,1580.0,1591.0,1577.0,1562.5,0.7
2565,2017-02-14,1577.0,1580.0,1591.0,1577.0,1562.5,1562.5,0.7
2564,2017-02-13,1580.0,1591.0,1577.0,1562.5,1562.5,1556.0,0.7
2563,2017-02-10,1591.0,1577.0,1562.5,1562.5,1556.0,1547.5,0.7
2562,2017-02-09,1577.0,1562.5,1562.5,1556.0,1547.5,1537.5,0.7
2561,2017-02-08,1562.5,1562.5,1556.0,1547.5,1537.5,1535.0,0.7
2560,2017-02-07,1562.5,1556.0,1547.5,1537.5,1535.0,1528.0,0.7
2559,2017-02-06,1556.0,1547.5,1537.5,1535.0,1528.0,1533.5,0.7
2558,2017-02-03,1547.5,1537.5,1535.0,1528.0,1533.5,1520.0,0.7
2557,2017-02-02,1537.5,1535.0,1528.0,1533.5,1520.0,1529.0,0.7
2556,2017-02-01,1535.0,1528.0,1533.5,1520.0,1529.0,1522.0,0.7
2555,2017-01-31,1528.0,1533.5,1520.0,1529.0,1522.0,1523.5,0.7
2554,2017-01-30,1533.5,1520.0,1529.0,1522.0,1523.5,1527.0,0.7
2553,2017-01-27,1520.0,1529.0,1522.0,1523.5,1527.0,1546.5,0.7
2552,2017-01-26,1529.0,1522.0,1523.5,1527.0,1546.5,1553.0,0.7
2551,2017-01-25,1522.0,1523.5,1527.0,1546.5,1553.0,1560.5,0.7
2550,2017-01-24,1523.5,1527.0,1546.5,1553.0,1560.5,1551.5,0.7
2549,2017-01-23,1527.0,1546.5,1553.0,1560.5,1551.5,1580.5,0.7
2548,2017-01-20,1546.5,1553.0,1560.5,1551.5,1580.5,1585.5,0.7
2547,2017-01-19,1553.0,1560.5,1551.5,1580.5,1585.5,1566.0,0.7
2546,2017-01-18,1560.5,1551.5,1580.5,1585.5,1566.0,1581.5,0.7
2545,2017-01-17,1551.5,1580.5,1585.5,1566.0,1581.5,1594.0,0.7
2544,2017-01-16,1580.5,1585.5,1566.0,1581.5,1594.0,1596.0,0.7
2543,2017-01-13,1585.5,1566.0,1581.5,1594.0,1596.0,1583.5,0.7
2542,2017-01-12,1566.0,1581.5,1594.0,1596.0,1583.5,1583.5,0.7
2541,2017-01-11,1581.5,1594.0,1596.0,1583.5,1583.5,1571.5,0.7
2540,2017-01-10,1594.0,1596.0,1583.5,1583.5,1571.5,1562.0,0.7
2539,2017-01-09,1596.0,1583.5,1583.5,1571.5,1562.0,1562.0,0.7
2538,2017-01-06,1583.5,1583.5,1571.5,1562.0,1562.0,1562.5,0.7
