,Date,Close,previous0,previous1,previous2,previous3,previous4,GDP
12914,2017-03-08,2081.0,2115.0,2151.0,2126.0,2185.0,2172.0,0.7
12913,2017-03-07,2115.0,2151.0,2126.0,2185.0,2172.0,2150.0,0.7
12912,2017-03-06,2151.0,2126.0,2185.0,2172.0,2150.0,2110.0,0.7
12911,2017-03-03,2126.0,2185.0,2172.0,2150.0,2110.0,2109.0,0.7
12910,2017-03-02,2185.0,2172.0,2150.0,2110.0,2109.0,2068.0,0.7
12909,2017-03-01,2172.0,2150.0,2110.0,2109.0,2068.0,2064.0,0.7
12908,2017-02-28,2150.0,2110.0,2109.0,2068.0,2064.0,2047.0,0.7
12907,2017-02-27,2110.0,2109.0,2068.0,2064.0,2047.0,2034.0,0.7
12906,2017-02-24,2109.0,2068.0,2064.0,2047.0,2034.0,2034.0,0.7
12905,2017-02-23,2068.0,2064.0,2047.0,2034.0,2034.0,2015.0,0.7
12904,2017-02-22,2064.0,2047.0,2034.0,2034.0,2015.0,1988.0,0.7
12903,2017-02-21,2047.0,2034.0,2034.0,2015.0,1988.0,1977.0,0.7
12902,2017-02-20,2034.0,2034.0,2015.0,1988.0,1977.0,1975.0,0.7
12901,2017-02-17,2034.0,2015.0,1988.0,1977.0,1975.0,1937.0,0.7
12900,2017-02-16,2015.0,1988.0,1977.0,1975.0,1937.0,1955.0,0.7
12899,2017-02-15,1988.0,1977.0,1975.0,1937.0,1955.0,1928.0,0.7
12898,2017-02-14,1977.0,1975.0,1937.0,1955.0,1928.0,1922.0,0.7
12897,2017-02-13,1975.0,1937.0,1955.0,1928.0,1922.0,1912.0,0.7
12896,2017-02-10,1937.0,1955.0,1928.0,1922.0,1912.0,1930.0,0.7
12895,2017-02-09,1955.0,1928.0,1922.0,1912.0,1930.0,1912.0,0.7
12894,2017-02-08,1928.0,1922.0,1912.0,1930.0,1912.0,1880.0,0.7
12893,2017-02-07,1922.0,1912.0,1930.0,1912.0,1880.0,1824.0,0.7
12892,2017-02-06,1912.0,1930.0,1912.0,1880.0,1824.0,1815.0,0.7
