,Date,Close,previous0,previous1,previous2,previous3,previous4,GDP
7752,2017-03-08,4861.0,4903.0,5016.0,5036.0,5002.0,4950.0,0.7
7751,2017-03-07,4903.0,5016.0,5036.0,5002.0,4950.0,4854.0,0.7
7750,2017-03-06,5016.0,5036.0,5002.0,4950.0,4854.0,4873.0,0.7
7749,2017-03-03,5036.0,5002.0,4950.0,4854.0,4873.0,4844.0,0.7
7748,2017-03-02,5002.0,4950.0,4854.0,4873.0,4844.0,4928.0,0.7
7747,2017-03-01,4950.0,4854.0,4873.0,4844.0,4928.0,4855.0,0.7
7746,2017-02-28,4854.0,4873.0,4844.0,4928.0,4855.0,4810.5,0.7
7745,2017-02-27,4873.0,4844.0,4928.0,4855.0,4810.5,4801.0,0.7
7744,2017-02-24,4844.0,4928.0,4855.0,4810.5,4801.0,4836.0,0.7
7743,2017-02-23,4928.0,4855.0,4810.5,4801.0,4836.0,4763.0,0.7
7742,2017-02-22,4855.0,4810.5,4801.0,4836.0,4763.0,4589.0,0.7
7741,2017-02-21,4810.5,4801.0,4836.0,4763.0,4589.0,4558.0,0.7
7740,2017-02-20,4801.0,4836.0,4763.0,4589.0,4558.0,4558.5,0.7
7739,2017-02-17,4836.0,4763.0,4589.0,4558.0,4558.5,4595.0,0.7
7738,2017-02-16,4763.0,4589.0,4558.0,4558.5,4595.0,4572.0,0.7
7737,2017-02-15,4589.0,4558.0,4558.5,4595.0,4572.0,4534.5,0.7
7736,2017-02-14,4558.0,4558.5,4595.0,4572.0,4534.5,4561.0,0.7
7735,2017-02-13,4558.5,4595.0,4572.0,4534.5,4561.0,4448.5,0.7
7734,2017-02-10,4595.0,4572.0,4534.5,4561.0,4448.5,4461.5,0.7
7733,2017-02-09,4572.0,4534.5,4561.0,4448.5,4461.5,4452.5,0.7
7732,2017-02-08,4534.5,4561.0,4448.5,4461.5,4452.5,4466.5,0.7
7731,2017-02-07,4561.0,4448.5,4461.5,4452.5,4466.5,4379.5,0.7
7730,2017-02-06,4448.5,4461.5,4452.5,4466.5,4379.5,4363.5,0.7
7729,2017-02-03,4461.5,4452.5,4466.5,4379.5,4363.5,4389.0,0.7
7728,2017-02-02,4452.5,4466.5,4379.5,4363.5,4389.0,4438.0,0.7
7727,2017-02-01,4466.5,4379.5,4363.5,4389.0,4438.0,4405.0,0.7
7726,2017-01-31,4379.5,4363.5,4389.0,4438.0,4405.0,4366.0,0.7
7725,2017-01-30,4363.5,4389.0,4438.0,4405.0,4366.0,4320.0,0.7
