,Date,Close,previous0,previous1,previous2,previous3,previous4,GDP
10335,2017-03-08,1228.0,1219.0,1224.0,1224.0,1226.0,1224.0,0.7
10334,2017-03-07,1219.0,1224.0,1224.0,1226.0,1224.0,1211.0,0.7
10333,2017-03-06,1224.0,1224.0,1226.0,1224.0,1211.0,1201.0,0.7
10332,2017-03-03,1224.0,1226.0,1224.0,1211.0,1201.0,1206.0,0.7
10331,2017-03-02,1226.0,1224.0,1211.0,1201.0,1206.0,1206.0,0.7
10330,2017-03-01,1224.0,1211.0,1201.0,1206.0,1206.0,1215.0,0.7
10329,2017-02-28,1211.0,1201.0,1206.0,1206.0,1215.0,1214.0,0.7
10328,2017-02-27,1201.0,1206.0,1206.0,1215.0,1214.0,1201.0,0.7
10327,2017-02-24,1206.0,1206.0,1215.0,1214.0,1201.0,1203.0,0.7
10326,2017-02-23,1206.0,1215.0,1214.0,1201.0,1203.0,1207.0,0.7
10325,2017-02-22,1215.0,1214.0,1201.0,1203.0,1207.0,1203.0,0.7
10324,2017-02-21,1214.0,1201.0,1203.0,1207.0,1203.0,1191.0,0.7
10323,2017-02-20,1201.0,1203.0,1207.0,1203.0,1191.0,1189.0,0.7
10322,2017-02-17,1203.0,1207.0,1203.0,1191.0,1189.0,1186.0,0.7
10321,2017-02-16,1207.0,1203.0,1191.0,1189.0,1186.0,1198.0,0.7
10320,2017-02-15,1203.0,1191.0,1189.0,1186.0,1198.0,1201.0,0.7
10319,2017-02-14,1191.0,1189.0,1186.0,1198.0,1201.0,1204.0,0.7
10318,2017-02-13,1189.0,1186.0,1198.0,1201.0,1204.0,1201.0,0.7
10317,2017-02-10,1186.0,1198.0,1201.0,1204.0,1201.0,1211.0,0.7
10316,2017-02-09,1198.0,1201.0,1204.0,1201.0,1211.0,1200.0,0.7
10315,2017-02-08,1201.0,1204.0,1201.0,1211.0,1200.0,1188.0,0.7
10314,2017-02-07,1204.0,1201.0,1211.0,1200.0,1188.0,1183.0,0.7
10313,2017-02-06,1201.0,1211.0,1200.0,1188.0,1183.0,1191.0,0.7
10312,2017-02-03,1211.0,1200.0,1188.0,1183.0,1191.0,1192.0,0.7
10311,2017-02-02,1200.0,1188.0,1183.0,1191.0,1192.0,1170.0,0.7
10310,2017-02-01,1188.0,1183.0,1191.0,1192.0,1170.0,1180.0,0.7
10309,2017-01-31,1183.0,1191.0,1192.0,1170.0,1180.0,1187.0,0.7
10308,2017-01-30,1191.0,1192.0,1170.0,1180.0,1187.0,1190.0,0.7
10307,2017-01-27,1192.0,1170.0,1180.0,1187.0,1190.0,1205.0,0.7
10306,2017-01-26,1170.0,1180.0,1187.0,1190.0,1205.0,1209.0,0.7
10305,2017-01-25,1180.0,1187.0,1190.0,1205.0,1209.0,1216.0,0.7
10304,2017-01-24,1187.0,1190.0,1205.0,1209.0,1216.0,1216.0,0.7
