"BTG PLC""",Ticker,Date,Open,High,Low,Close,Volume,MarketCap
2697955,GlaxoSmithKline PLC,02/01/2007,1345,1366,1338,1364,9703620,78509.2292
2697956,GlaxoSmithKline PLC,03/01/2007,1367,1388,1361,1388,21513128,79890.6233
2697957,GlaxoSmithKline PLC,04/01/2007,1384,1415,1381,1411,29797550,81209.5194
2697958,GlaxoSmithKline PLC,05/01/2007,1404,1417,1390,1391,28126415,80045.3056
2697959,GlaxoSmithKline PLC,08/01/2007,1391,1396,1357,1360,25845915,78258.8691
2697960,GlaxoSmithKline PLC,09/01/2007,1360,1367,1354,1360,29583181,78258.8691
2697961,GlaxoSmithKline PLC,10/01/2007,1354,1368,1349,1359,29596508,78195.8381
2697962,GlaxoSmithKline PLC,11/01/2007,1360,1373,1353,1364,26125859,78471.9723
2697963,GlaxoSmithKline PLC,12/01/2007,1367,1379,1359,1371,24787466,78867.7858
2697964,GlaxoSmithKline PLC,15/01/2007,1370,1390,1370,1380,14695429,79385.5175
2697965,GlaxoSmithKline PLC,16/01/2007,1377,1397,1375,1388,26340195,79838.248
2697966,GlaxoSmithKline PLC,17/01/2007,1391,1415,1389,1398,29510279,80413.4515
2697967,GlaxoSmithKline PLC,18/01/2007,1404,1424,1403,1413,48302151,81276.105
2697968,GlaxoSmithKline PLC,19/01/2007,1416,1424,1400,1418,23487172,81563.7062
2697969,GlaxoSmithKline PLC,22/01/2007,1419,1419,1400,1406,23742561,80877.4039
2697970,GlaxoSmithKline PLC,23/01/2007,1404,1410,1389,1395,20857155,80239.9641
2697971,GlaxoSmithKline PLC,24/01/2007,1394,1415,1385,1412,19948601,81217.7988
2697972,GlaxoSmithKline PLC,25/01/2007,1406,1409,1390,1393,23571973,80117.6468
2697973,GlaxoSmithKline PLC,26/01/2007,1387,1399,1382,1387,39224005,79765.5234
2697974,GlaxoSmithKline PLC,29/01/2007,1383,1397,1375,1388,23744633,79821.5012
2697975,GlaxoSmithKline PLC,30/01/2007,1388,1393,1380,1387,13391344,79756.1436
2697976,GlaxoSmithKline PLC,31/01/2007,1385,1391,1363,1365,27849212,78481.4881
2697977,GlaxoSmithKline PLC,01/02/2007,1377,1398,1376,1386,27302332,79688.8956
2697978,GlaxoSmithKline PLC,02/02/2007,1394,1421,1386,1420,32830192,81640.7437
2697979,GlaxoSmithKline PLC,05/02/2007,1413,1417,1396,1398,16747111,80373.6549
2697980,GlaxoSmithKline PLC,06/02/2007,1401,1412,1401,1408,15898032,80940.2137
2697981,GlaxoSmithKline PLC,07/02/2007,1403,1406,1390,1400,24393819,80471.5557
2697982,GlaxoSmithKline PLC,08/02/2007,1404,1433,1383,1422,54837960,81736.1087
2697983,GlaxoSmithKline PLC,09/02/2007,1429,1461,1429,1450,38675619,83344.4211
2697984,GlaxoSmithKline PLC,12/02/2007,1440,1468,1439,1460,26757167,83919.2103
2697985,GlaxoSmithKline PLC,13/02/2007,1465,1491,1460,1491,37577587,85731.0075
2697986,GlaxoSmithKline PLC,14/02/2007,1478,1495,1471,1493,35283368,85876.7549
2697987,GlaxoSmithKline PLC,15/02/2007,1488,1490,1475,1477,29703208,84947.578
2697988,GlaxoSmithKline PLC,16/02/2007,1474,1501,1474,1480,25566268,85120.1188
2697989,GlaxoSmithKline PLC,19/02/2007,1484,1494,1480,1493,11317756,85909.2831
2697990,GlaxoSmithKline PLC,20/02/2007,1490,1498,1482,1488,19423464,85610.4452
2697991,GlaxoSmithKline PLC,21/02/2007,1485,1486,1457,1459,38911812,83928.1557
2697992,GlaxoSmithKline PLC,22/02/2007,1461,1464,1438,1440,28820078,82839.375
2697993,GlaxoSmithKline PLC,23/02/2007,1445,1453,1439,1450,17032551,83414.6484
2697994,GlaxoSmithKline PLC,26/02/2007,1449,1460,1447,1455,12781602,83722.7106
2697995,GlaxoSmithKline PLC,27/02/2007,1453,1459,1433,1434,18374213,82486.4458
2697996,GlaxoSmithKline PLC,28/02/2007,1429,1451,1410,1430,41881133,82249.0614
2697997,GlaxoSmithKline PLC,01/03/2007,1427,1433,1411,1426,34391053,82018.9941
2697998,GlaxoSmithKline PLC,02/03/2007,1426,1431,1398,1417,33790599,81483.6025
2697999,GlaxoSmithKline PLC,05/03/2007,1402,1410,1385,1403,24721920,80678.5422
2698000,GlaxoSmithKline PLC,06/03/2007,1408,1421,1390,1421,26688206,81696.3915
2698001,GlaxoSmithKline PLC,07/03/2007,1421,1426,1409,1426,13648066,81983.8524
2698002,GlaxoSmithKline PLC,08/03/2007,1428,1450,1421,1449,20034130,83306.1726
2698003,GlaxoSmithKline PLC,09/03/2007,1439,1449,1421,1435,17896321,82486.4276
2698004,GlaxoSmithKline PLC,12/03/2007,1445,1454,1431,1445,18814727,83061.2459
2698005,GlaxoSmithKline PLC,13/03/2007,1445,1447,1421,1423,17833282,81789.4055
2698006,GlaxoSmithKline PLC,14/03/2007,1420,1428,1394,1396,33548098,80237.5335
2698007,GlaxoSmithKline PLC,15/03/2007,1408,1417,1396,1417,22644670,81419.4431
2698008,GlaxoSmithKline PLC,16/03/2007,1415,1415,1398,1400,30657506,80442.6396
2698009,GlaxoSmithKline PLC,19/03/2007,1410,1422,1390,1411,22472541,81069.7629
2698010,GlaxoSmithKline PLC,20/03/2007,1413,1421,1396,1417,22528589,81408.1376
2698011,GlaxoSmithKline PLC,21/03/2007,1418,1426,1409,1413,17639344,81164.2034
2698012,GlaxoSmithKline PLC,22/03/2007,1425,1428,1402,1414,42046952,81210.6459
2698013,GlaxoSmithKline PLC,23/03/2007,1416,1417,1388,1391,52778357,79857.7039
